,names,gender
6863,sunil mehta,male
7386,subash bim,male
13020,rubbina,female
1316,taushif,male
14011,kushamvir,female
7560,rajiv kumar,male
9199,somdevi,female
7333,kamraan,male
7407,choturam,male
5435,vinod lal,male
14812,asrani toppo ,female
11016,sundri,female
287,krishan kumar,male
7569,dharmender,male
7130,mansharam,male
11208,parmila ,female
14106,poonam ,female
11589,somil kumari,female
12744,durgesh bai,female
636,ziyabul,male
10117,krishna ,female
1752,deep,male
4743,sukh dev,male
7080,ashish,male
11087,prem wati,female
8882,sunita ,female
6758,mahasingh,male
14642,mamini,female
9638,ramjanki bai,female
15101,kalawati,female
7698,makrud alam,male
2617,samon,male
8278,chand miya,male
8998,sahnara,female
4021,mohd. aklim,male
8458,miha singh,male
13992,bharti kumari,female
11066,reeta kapkoti,female
6886,manoj upadhay,male
440,ashok bairwa,male
9786,कोशल्‍या,female
14526,kawal kumari,female
6118,parmo kumar jain,male
15122,saifali,female
1999,mohit gupta ,male
4120,sunil agarwal,male
8802,tarunnam,female
10010,punit,female
5611,pradeep mehta,male
12356,shymo devi,female
13870,smt. pinki,female
11951,smt. somanti,female
5616,deepa,male
644,islamudin,male
10462,bina jatav,female
14939,huma parveen,female
13519,sakina,female
1594,sudhir,male
6690,santosh ,male
9822,genda devi,female
10921,sonu kumari,female
8703,hema aikka,female
3930,gulfan,male
4932,deshraj,male
9492,monika  ,female
2998,ashish vajpay,male
1393,kaluram,male
14321,meena chauhan,female
2555,satayanarayan,male
13281,rama devi,female
2072,azruddin,male
10079,gulshan khatton,female
11607,gaytri bai,female
13070,anita sahu,female
15253,sangeeta pandey,female
7012,shivyalam,male
8925,keli devi,female
6982,suja ram,male
14371,sunita indora,female
12844,vineta,female
6745,akshay,male
13273,nahani kanwar,female
4980,chander mohan,male
11947,miss leela  purohit,female
12221,lalita bai,female
14603,geetika,female
13534,nisha devi,female
9135,noorjahan,female
6130,nitin shukla,male
6244,shokesh,male
14894,hasina bano,female
1705,omprakesh,male
6872,parvinder singh,male
7320,komal / kabila,male
7514,vikas,male
7646,manohar lal,male
975,kalu ,male
2755,itwari lal,male
8204,shish ram,male
12980,meethu sarkar,female
2008,brijpal,male
995,manisha devi,male
8862,sheela,female
